DateTime	UAStime	CONCN	COUNT	ABSRA	ABSRB	ABSGA	ABSGB	ABSBA	ABSBB	CHMPS	AT	RH	BATTV	OPCB4	OPCB5	OPCB6	OPCB7	OPCB8	PROBT	PRBRH	SMPFL	SMPFP	SATFL	SATFP	ABSFL	ABSFP	CHMFL	CHMFP	OPCFL	OPCFP	OPTCT	OPTCP	CONDT	CONDP	SATTT	SATTP	SATBT	SATBP	INLTT	FILLC	CABNT	CABNP	PRESS	MCPCPWR	ABSLED	CHEMPOS	MPUMP	APUMP	CPUMP	OPUMP	SAMPRPT	STATRPT	RPTLABEL	SAMPFLOW	SATFLOW	ABSFLOW	CHEMFLOW	OPCFLOW	POP
2015-04-21 07:39:50	27590	171.0	1015	428540	472945	483149	551584	416690	486032	1	-3.24	51.97	11.9	0	0	0	0	0	-39.9	0	355	113	369	64	1605	152	1974	200	180.6	112	25.1	200	15.3	130	36.0	200	36.2	200	12.9	390	14.9	0	1004																POPS,20150421T073948.944,1, 597.00,   1.00,1003.00,  aN,    NaN,  20, ,  31,   6,   0,   0
2015-04-21 07:39:52	27592	173.0	1060	428323	472707	483182	551620	416407	485706	1	-3.26	51.84	11.9	0	0	0	0	0	-39.9	0	365	113	352	63	1596	153	1957	200	178.9	112	25.2	126	15.3	130	36.1	200	36.4	200	12.9	394	15.0	0	1004																POPS,20150421T0750.944,1, 569.00,   1.00,1 29.00,    NaN,  16, 112, 201, 206,  29,   5,   0,   0
2015-04-21 07:39:54	27594	167.0	1034	429267	473754	484083	552660	417120	486538	1	-3.26	51.79	12.0	0	0	0	0	0	-39.9	0	355	113	372	62	1603	151	1993	200	181.9	112	25.2	126	15.3	130	36.2	200	36.5	200	12.9	398	15.0	0	1004																POPS,20150421T073952.951,1, 563.00,   1.00,1005.00,  15.0  NaN,  15, 134, ,   3,   0,   0
2015-04-21 07:39:56	27596	184.0	1127	428197	472574	483184	551626	416379	485673	1	-3.27	51.71	11.9	0	0	0	0	0	-40.0	0	370	112	364	63	1602	151	1990	200	182.4	111	25.3	53	15.3	130	36.4	200	36.7	200	13.0	402	15.0	0	1004																POPS,20150421T073954.9.00,   1.00,1006.00,    NaN,    NaN,  13, 128, 212, 195,  22,   7,   0,
2015-04-21 07:39:58	27598	186.0	1120	429330	473831	484081	552658	417583	487090	1	-3.27	51.66	12.0	0	0	0	0	0	-39.9	0	366	110	351	62	1608	150	2028	200	182.4	111	25.4	26	15.3	130	36.5	200	36.9	200	13.0	406	15.0	0	1004																POPS,20150421T073956.942,1, 591.00,   1.00,1005.00,  13.00 NaN,  10, 145,    5,   0,   1
2015-04-21 07:40:00	27600	221.0	1232	429237	473734	483913	552472	416987	486389	1	-3.27	51.50	12.0	0	0	0	0	0	-39.9	0	333	112	361	64	1588	151	1991	200	178.6	110	25.4	26	15.3	130	36.7	200	37.0	200	13.0	410	15.1	0	1004																POPS,20150421T07395 592.00,   1.00,1 31.00,    NaN,    NaN,  20, 149, 207, 183,  30,   3,
2015-04-21 07:40:02	27602	180.0	1100	429715	474261	484478	553124	417383	486856	1	-3.27	51.34	12.0	0	0	0	0	0	-39.9	0	363	111	355	61	1603	149	2004	200	180.6	110	25.4	53	15.4	130	36.8	200	37.1	200	12.9	414	15.0	0	1004																POPS,20150421T074000.943,1,  1.00,1004.00,    NaN,    NaN,  17, 124, 191, 172,  26,   7,   2,   0
2015-04-21 07:40:04	27604	188.0	1112	429207	473701	484124	552719	417553	487055	1	-3.27	51.29	12.0	0	0	0	0	0	-39.9	0	379	111	336	62	1596	149	2001	200	180.6	110	25.4	53	15.4	130	36.9	200	37.2	200	13.0	416	15.1	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074002.942,1, 546.00,   1.00,100,    NaN,    NaN2, 191,  27,   0,   2,   0
2015-04-21 07:40:06	27606	188.0	1179	429534	474060	484038	552621	417389	486866	1	-3.29	51.13	12.0	0	0	0	0	0	-39.9	0SMPFL=377	349	111	335	62	1603	150	2033	200	180.3	110	25.4	53	15.4	130	37.1	200	37.5	200	13.0	422	15.1	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074004.943,1, 5 1.00,1006.00,    NaN,    NaN,  24, 134, 168, 195,  41,   2,   0,   0
2015-04-21 07:40:08	27608	195.0	1179	429647	474189	484086	552678	417468	486963	1	-3.30	51.05	12.0	0	0	0	0	0	-39.9	0	351	111	363	62	1602	150	2030	200	180.6	110	25.4	53	15.4	130	37.3	200	37.6	200	13.0	426	15.1	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074006.942,1,   1.00,1005.00,    NaN,    NaN,  25, 120, 196, 178,  35,   7,   3,   0
2015-04-21 07:40:10	27610	201.0	1185	429539	474069	484126	552720	417525	487027	1	-3.30	50.86	12.0	0	0	0	0	0	-39.9	0	358	112	347	63	1605	150	2034	200	180.4	110	25.4	126	15.5	130	37.4	200	37.8	200	13.0	430	15.1	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074008.941,1, 525.00,   1.00,   0.00,    NaN,  14, 117, 177, 181,  30,   6,   0,   0
2015-04-21 07:40:12	27612	208.0	1295	428637	473070	483191	551651	416717	486089	1	-3.30	50.70	11.9	0	0	0	0	0	-39.9	0	358	114	351	63	1594	150	1990	200	177.7	110	25.4	55	15.4	130	37.5	200	37.9	200	13.0	434	15.2	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T0741, 522.00,   1.00,  12.00,    NaN,    NaN,  16, 109, 194, 177,  21,   5,
2015-04-21 07:40:14	27614	193.0	1191	429102	473590	483259	551735	416927	486335	1	-3.30	50.62	11.9	0	0	0	0	0	-39.9	0	377	111	339	63	1599	150	1960	200	178.3	110	25.4	127	15.5	130	37.8	200	38.0	200	13.0	438	15.1	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074012.942,1, 582.00,   1.00,1007.00,   5.00, aN,  16, 120, 200 0,   0,   0
2015-04-21 07:40:16	27616	202.0	1250	427810	472158	482395	550745	416555	485903	1	-3.30	50.49	11.8	0	0	0	0	0	-39.9	0	356	112	357	63	1593	151	1964	200	177.0	111	25.4	127	15.5	130	37.9	200	38.2	200	13.0	442	15.2	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074014.9.00,   1.00,1005.00,    NaN,    NaN,  15, 128, 210, 200,  22,   2,   0,
2015-04-21 07:40:18	27618	199.0	1211	429832	474398	483966	552549	417455	486957	1	-3.32	50.33	12.0	0	0	0	0	0	-39.9	0	353	111	379	62	1610	150	2009	200	184.0	111	25.4	129	15.5	130	38.0	200	38.3	200	13.0	446	15.2	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074016.944,1, 558.00,   1.00,1010.00,   0.0  NaN,  16, 126, ,   7,   2,   0
2015-04-21 07:40:20	27620	214.0	1264	428919	473394	483234	551713	416612	485969	1	-3.34	50.25	11.9	0	0	0	0	0	-39.9	0	354	112	355	63	1596	150	1975	200	178.3	110	25.5	129	15.6	130	38.1	200	38.5	200	13.1	450	15.2	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074018.54.00,   1.00,1000.00,    NaN,    NaN,  22, 121, 186, 195,  25,   5,   0
2015-04-21 07:40:22	27622	206.0	1268	428515	472948	483177	551650	416899	486307	1	-3.35	50.10	11.9	0	0	0	0	0	-39.9	0	362	113	363	63	1600	151	1975	200	179.4	111	25.6	61	15.6	130	38.2	200	38.6	200	13.1	454	15.3	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074020.942,1,  1.00,1005.00,    NaN,    NaN,  22, 129, 183, 203,  34,   4,   0,   0
2015-04-21 07:40:24	27624	213.0	1252	429168	473671	484155	552776	417669	487214	1	-3.36	49.94	12.0	0	0	0	0	0	-39.9	0	357	111	364	62	1606	149	1992	200	182.5	109	25.6	61	15.6	130	38.4	200	38.8	200	13.1	458	15.3	0	1004	ON		1	ON	ON	ON	ON									POPS,20150421T074022.90.00,   1.00,1002.00,    NaN,    NaN,  20, 125, 207, 202,  32,   4,   0
